Title	URL	Author	Price
Expert Scripting and Automation for SQL Server DBAs	/Expert-Scripting-Automation-Server-DBAs/dp/1484219422/ref=sr_1_35?keywords=automation&qid=1555061388&s=books&sr=1-35	by Peter A. Carter | Jul 28, 2016	$42
.			
"39"""			
Test Automation using Selenium Webdriver 3.0 with C#	/Test-Automation-using-Selenium-Webdriver/dp/0992293561/ref=sr_1_36?keywords=automation&qid=1555061388&s=books&sr=1-36	by Mr Vaibhav Mittal and Mr Navneesh Garg | Oct 1, 2018	$49
.			
"99"""			
Mastering Python Networking: Your one-stop solution to using Python for network automation, DevOps, and Test-Driven Development, 2nd Edition	/Mastering-Python-Networking-Test-Driven-Development/dp/1789135990/ref=sr_1_37?keywords=automation&qid=1555061388&s=books&sr=1-37	by Eric Chou  | Aug 29, 2018	$49
.			
"99"""			
Auditing and GRC Automation in SAP	/Auditing-GRC-Automation-Maxim-Chuprunov-ebook/dp/B00CAF8WI0/ref=sr_1_38?keywords=automation&qid=1555061388&s=books&sr=1-38	by Maxim Chuprunov | Apr 9, 2013	$67
.			
"99"""			
AWS Automation Cookbook: Continuous Integration and Continuous Deployment using AWS services	/AWS-Automation-Cookbook-Continuous-Integration/dp/1788394925/ref=sr_1_39?keywords=automation&qid=1555061388&s=books&sr=1-39	by Nikit Swaraj | Nov 24, 2017	$39
.			
"99"""			
Our Uncertain Future: When Digital Evolution, Global Warming and Automation Converge	/Our-Uncertain-Future-Evolution-Automation/dp/057813036X/ref=sr_1_40?keywords=automation&qid=1555061388&s=books&sr=1-40	by David M Mills Ph.D.  | Sep 11, 2013	$7
.			
"95"""			
Data & Analytics 4.0: The Future of Work, Privacy and Trust in the Age of Artificial Intelligence	/Data-Analytics-4-0-Artificial-Intelligence/dp/0578437163/ref=sr_1_41?keywords=automation&qid=1555061388&s=books&sr=1-41	by Journel Joseph  | Jan 31, 2019	$17
.			
"70"""			
Home Automation with Raspberry Pi: Projects Using Google Home, Amazon Echo, and Other Intelligent Personal Assistants	/Home-Automation-Raspberry-Intelligent-Assistants-ebook/dp/B07P1JNSNT/ref=sr_1_42?keywords=automation&qid=1555061388&s=books&sr=1-42	by Donald Norris | May 3, 2019	$14
.			
"75"""			
The ART of Automation: Leverage for companies, managers and testers	/ART-Automation-Leverage-companies-managers-ebook/dp/B07PS6X4MW/ref=sr_1_43?keywords=automation&qid=1555061388&s=books&sr=1-43	by Peter Muszka  | Mar 15, 2019	$0
.			
"00"""			
Building Automation: Control Devices and Applications	/Building-Automation-Control-Devices-Applications/dp/0826920004/ref=sr_1_44?keywords=automation&qid=1555061388&s=books&sr=1-44	by In Partnership with NJATC | Jan 1, 2008	$81
.			
"99"""			
Electronic Design Automation: Synthesis, Verification, and Test (Systems on Silicon)	/Electronic-Design-Automation-Synthesis-Verification/dp/0123743648/ref=sr_1_45?keywords=automation&qid=1555061388&s=books&sr=1-45	by Laung-Terng Wang, Yao-Wen Chang, et al. | Mar 12, 2009	$100
.			
"14"""			
Marketing AI™: From Automation to Revenue Performance Marketing	/Marketing-AITM-Automation-Revenue-Performance/dp/0692602283/ref=sr_1_46?keywords=automation&qid=1555061388&s=books&sr=1-46	by Greg Grdodian and Stevan Roberts | Mar 2, 2016	$24
.			
"99"""			
101 Tips for a Successful Automation Career	/101-Tips-Successful-Automation-Career/dp/1937560503/ref=sr_1_47?keywords=automation&qid=1555061388&s=books&sr=1-47	by Gregory McMillan and Hunter Vegas | Jul 15, 2010	$79
.			
"00"""			
Building Automation Systems A To Z: How To Survive In A World Full Of Bas	/Building-Automation-Systems-Survive-World/dp/1539914488/ref=sr_1_48?keywords=automation&qid=1555061388&s=books&sr=1-48	by Phil Zito  | Dec 1, 2016	$138
.			
"60"""			
Building Automation Systems A To Z: How To Survive In A World Full Of Bas	/Building-Automation-Systems-Survive-World/dp/1539914488/ref=sr_1_49?keywords=automation&qid=1555061391&s=books&sr=1-49	by Phil Zito  | Dec 1, 2016	$138
.			
"60"""			
Jenkins 2: Up and Running: Evolve Your Deployment Pipeline for Next Generation Automation	/Jenkins-Deployment-Pipeline-Generation-Automation/dp/1491979593/ref=sr_1_50?keywords=automation&qid=1555061391&s=books&sr=1-50	by Brent Laster  | May 31, 2018	$42
.			
"01"""			
Service Automation: Robots and the Future of Work 2016	/Service-Automation-Robots-Future-Work/dp/0956414567/ref=sr_1_51?keywords=automation&qid=1555061391&s=books&sr=1-51		$34
.			
"88"""			
A Journey through Test Automation Patterns: One team’s adventures with the Test Automation Patterns wiki	/Journey-through-Test-Automation-Patterns/dp/1727504887/ref=sr_1_52?keywords=automation&qid=1555061391&s=books&sr=1-52	by Seretta Gamba and Dorothy Graham | Nov 7, 2018	$30
.			
"00"""			
Learning RSLogix 5000 Programming: Building PLC solutions with Rockwell Automation and RSLogix 5000	/Learning-RSLogix-5000-Programming-Automation/dp/1784396036/ref=sr_1_53?keywords=automation&qid=1555061391&s=books&sr=1-53	by Austin Scott  | Aug 31, 2015	$38
.			
"03"""			
